epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3930.8,0.20972,0.39212,0.96689,0.90446,0.86996,0.95106,0.94647,0.23532,0.8228,0.59514,0.000173375,0.000173375,0.000173375
89,3972.28,0.1817,0.34423,0.94316,0.85859,0.925,0.95042,0.94852,0.2391,0.78701,0.60008,0.000161,0.000161,0.000161
90,4014.45,0.18808,0.36396,0.94284,0.83662,0.92023,0.93498,0.92113,0.25186,0.85435,0.61198,0.000148625,0.000148625,0.000148625
91,4056.2,0.14299,0.54854,0.88691,0.83352,0.88529,0.92815,0.91583,0.2328,0.90826,0.59349,0.00013625,0.00013625,0.00013625
92,4097.44,0.11702,0.33377,0.8951,0.84727,0.9238,0.93261,0.93261,0.20081,0.883,0.54878,0.000123875,0.000123875,0.000123875
93,4138.77,0.10118,0.24367,0.88885,0.86483,0.925,0.94159,0.94159,0.18871,0.94278,0.53298,0.0001115,0.0001115,0.0001115
94,4180.07,0.10366,0.22471,0.88257,0.88146,0.90257,0.94862,0.94862,0.1922,0.99764,0.53651,9.9125e-05,9.9125e-05,9.9125e-05
95,4221.31,0.09643,0.21657,0.89538,0.87338,0.90183,0.94132,0.94132,0.19836,0.99092,0.54179,8.675e-05,8.675e-05,8.675e-05
96,4262.86,0.08575,0.17317,0.85947,0.91147,0.87569,0.93547,0.93547,0.19191,0.9452,0.52744,7.4375e-05,7.4375e-05,7.4375e-05
97,4304.47,0.08673,0.20635,0.86209,0.93784,0.87971,0.94256,0.94256,0.19456,0.89452,0.52781,6.2e-05,6.2e-05,6.2e-05
98,4345.96,0.08675,0.17243,0.85976,0.93741,0.90102,0.94881,0.94881,0.20173,0.79295,0.54042,4.9625e-05,4.9625e-05,4.9625e-05
99,4387.63,0.09048,0.19393,0.85831,0.9367,0.92207,0.95563,0.95563,0.20122,0.73452,0.54082,3.725e-05,3.725e-05,3.725e-05
100,4429.09,0.08733,0.17711,0.84807,0.958,0.89125,0.95615,0.95615,0.19521,0.697,0.53126,2.4875e-05,2.4875e-05,2.4875e-05
